"Game_ID";"Score_hole_1";"Score_hole_2";"Score_hole_3";"Score_hole_4";"Score_hole_5";"Score_hole_6";"Score_hole_7";"Score_hole_8";"Score_hole_9";"Score_hole_10";"Score_hole_11";"Score_hole_12";"Score_hole_13";"Score_hole_14";"Score_hole_15";"Score_hole_16";"Score_hole_17";"Score_hole_18"
80;5;6;6;4;6;5;4;4;5;6;5;5;4;6;5;4;4;4
81;3;5;5;3;5;5;3;4;4;6;3;5;4;8;3;4;3;4
82;5;5;5;5;8;4;4;4;5;6;4;4;5;4;4;7;3;6
83;6;5;4;4;6;6;4;4;4;6;6;7;8;5;3;5;3;4
84;4;6;6;5;6;4;5;3;5;5;4;5;3;4;4;8;5;5
85;4;4;4;3;8;3;4;4;4;6;4;4;3;3;3;5;3;3
86;4;4;4;3;4;4;5;3;4;5;4;5;3;4;3;4;3;5
87;3;5;4;5;5;5;3;3;4;4;4;5;3;4;4;5;4;4
88;7;5;6;3;6;5;5;4;4;6;6;5;4;6;3;6;4;8
89;4;3;4;3;6;5;4;5;4;7;4;5;3;5;3;5;3;6
90;5;5;4;4;6;4;4;6;5;7;5;5;4;5;3;4;4;4
91;4;5;6;4;7;3;6;4;5;6;4;4;3;4;4;4;4;5
92;7;5;5;4;4;5;4;6;7;5;6;7;6;5;3;5;4;3
93;4;5;7;3;6;4;7;4;4;6;6;5;4;4;5;4;5;5
94;4;7;5;4;5;4;4;3;5;5;4;6;3;5;4;4;4;5
95;5;4;4;3;5;5;3;3;4;7;3;4;3;5;3;4;4;4
96;3;6;4;4;5;7;6;3;6;7;3;4;3;6;3;4;3;6
97;3;3;5;4;7;5;3;4;3;7;4;5;3;5;3;4;3;5
98;4;4;3;4;6;4;5;3;3;6;6;5;3;4;4;3;4;4
99;4;4;5;4;7;5;3;4;3;7;4;5;4;5;4;4;3;4
100;3;4;3;3;5;5;4;3;4;8;6;7;3;4;3;4;3;6
101;4;6;4;4;8;4;5;3;7;7;4;5;3;5;5;4;3;4
102;5;8;5;4;6;5;4;3;5;8;6;4;4;6;4;5;5;5
103;4;5;6;4;7;4;4;4;5;5;4;5;4;5;4;5;3;4
104;7;4;6;4;6;3;6;3;6;6;4;6;4;4;3;5;4;6
105;5;4;9;4;6;4;4;3;5;6;6;5;4;5;3;5;4;6
106;4;4;7;4;7;5;5;3;5;6;3;7;5;4;4;4;3;6
107;5;5;6;4;8;4;6;4;4;7;4;5;3;5;3;6;4;7
108;4;4;5;4;6;4;6;3;5;9;6;4;4;5;3;4;6;5
109;7;8;4;3;7;4;6;3;5;6;6;4;5;3;3;6;4;4
110;7;4;4;4;5;6;7;3;5;5;6;6;4;5;4;5;4;5
111;7;5;5;3;6;5;4;4;4;6;5;5;4;6;3;6;4;6
112;4;4;3;4;6;5;5;4;3;6;6;6;3;5;4;3;4;5
